genre_name,preview_url,preview_track,color,top_pixel,left_pixel,font_size
alternative r&b,https://p.scdn.co/mp3-preview/46d659581011d901f8cd9a0870c6e3d46a39e603,"Mereba ""Sandstorm (feat. JID)""","rgb(147, 142, 15)",10520,967,111
grupera,https://p.scdn.co/mp3-preview/716615ade6dbed7c583bcf3df77ea7dc05aec60a,"Viento Y Sol ""Par De Anillos""","rgb(154, 145, 5)",9816,921,111
west coast rap,https://p.scdn.co/mp3-preview/36d6ea8f93e43ba531103e228d23fcc4db2851f0,"Dru Down ""Pimp Of The Year""","rgb(173, 122, 7)",5478,1159,111
opm,https://p.scdn.co/mp3-preview/c41f36887dbab20b60ca7da3ab210abe6ad9db73,"Moonstar88 ""Migraine""","rgb(121, 151, 17)",12474,563,111
boy band,https://p.scdn.co/mp3-preview/261d429233ad5f69295d41d5a7a115a9b79c59ef,"All-4-One ""I Swear""","rgb(171, 131, 3)",3653,718,111
psychedelic rock,https://p.scdn.co/mp3-preview/f39a05b57be781d6f8fe5aaf2c1fa5de56ce45e6,"Jefferson Airplane ""White Rabbit""","rgb(145, 122, 31)",13945,604,111
glam metal,https://p.scdn.co/mp3-preview/f807207569139ef31109694ef0d008e3ff7936e4,"Faster Pussycat ""House of Pain""","rgb(202, 97, 23)",8565,317,111
stomp and holler,https://p.scdn.co/mp3-preview/06879b94e321463fd8e20cb3d8b267d5f78c4450,"Langhorne Slim ""Changes""","rgb(129, 143, 27)",13256,530,111
desi hip hop,https://p.scdn.co/mp3-preview/b9c94b4e10a8e42716652ef0270e25b07a2e95d8,"Raga ""Rap Ka Mausam""","rgb(174, 139, 15)",6488,1056,111
ccm,https://p.scdn.co/mp3-preview/54802293b470f01b099abe7dbd42284da5d3fc23,"Ryan Stevenson ""Amadeo (Still My God)""","rgb(157, 138, 13)",7174,346,111
rage rap,https://p.scdn.co/mp3-preview/ad25333f0d85daff4e0a452a6158e5c37949f06f,"Rich Amiri ""AINT NOTHING""","rgb(152, 159, 4)",4454,957,111
hip pop,https://p.scdn.co/mp3-preview/53db459e35419d85ead0512b5144df7e1e176f6b,"Eve ""Let Me Blow Ya Mind""","rgb(166, 134, 5)",5113,1013,111
puerto rican pop,https://p.scdn.co/mp3-preview/523bf7dfbddbb52e0d03b60003a397efc61114c5,"Melina Leon ""Cuando una Mujer - Balada""","rgb(179, 136, 5)",6290,933,111
german pop,https://p.scdn.co/mp3-preview/6b4c397203176cc18b0b8939996c37bfc55c75a1,"Juli ""Perfekte Welle""","rgb(164, 133, 11)",6804,795,111
miami hip hop,https://p.scdn.co/mp3-preview/d527ddaab12b179d1cec2ad19d1514b8befe8fbf,"Desloc Piccalo ""Stick and Roll - Radio""","rgb(173, 135, 6)",4279,1068,111
argentine rock,https://p.scdn.co/mp3-preview/8643135dd3bed8ccc58e7702530d16c5f2e782e5,"Pappo ""Juntos a la Par""","rgb(170, 125, 21)",9011,615,111
sertanejo pop,https://p.scdn.co/mp3-preview/4cfaf79de15d0de9728980520e3fc1e80f486d5c,"Gustavo Moura & Rafael ""Digitando""","rgb(194, 133, 1)",8728,834,111
tropical,https://p.scdn.co/mp3-preview/19ec22ff7f245ccbf63467252bc04e0074ceefcc,"Jerry Rivera ""Amores Como el Nuestro""","rgb(176, 136, 5)",12948,1066,111
glam rock,https://p.scdn.co/mp3-preview/140ac147a161594b2af013c36f29ee52495df989,"T. Rex ""Get It On""","rgb(172, 113, 26)",11355,528,111
funk carioca,https://p.scdn.co/mp3-preview/00e6f782cba094089dc177063fe2db8cb0dcdc3b,"ZAAC ""Vai Embrazando""","rgb(179, 134, 5)",6550,1205,111
nigerian pop,https://p.scdn.co/mp3-preview/1bb47d08b57daaa52ed24ee384a386107cf260fb,"WurlD ""Sarafina""","rgb(180, 137, 6)",9344,1068,111
argentine hip hop,https://p.scdn.co/mp3-preview/83e28467673def81b5532925eed615b4da55c30f,"Neo Pistea ""Tumbando el Club (feat. C.R.O, Obiewanshot, YSY A, Cazzu, Khea, Lucho SSJ, Coqeéin Montana, Marcianos Crew & Duki) - Remix""","rgb(164, 143, 9)",7384,1114,110
dark trap,https://p.scdn.co/mp3-preview/654b151fb3c0c74e3805cabede80dd45f4d3ffdb,"Kamiyada+ ""ProductOfDrugs (Prod. The Virus and Antidote)""","rgb(165, 142, 22)",4354,973,110
latin viral pop,https://p.scdn.co/mp3-preview/c6b2cae3c5701c5403e3fa0cb752b8ae24c6d0d6,"Javier Ramirez ""Me Atrapó""","rgb(180, 141, 2)",4186,949,110
piano rock,https://p.scdn.co/mp3-preview/12219c6fd17e96b5196e2ec083d825ee8d13b8e3,"Jack's Mannequin ""Dark Blue - 2015 Remastered""","rgb(154, 130, 12)",12549,588,110
detroit hip hop,https://p.scdn.co/mp3-preview/2c1fc587ef0dc9573dd9c6452e436e47f69a9719,"Nuk ""Pluto""","rgb(167, 132, 10)",9970,1049,110
italian adult pop,https://p.scdn.co/mp3-preview/a69b65da846f07b6ffb06e02a1914416208f7e33,"Noemi ""MAKUMBA""","rgb(145, 139, 7)",12179,636,110
country rock,https://p.scdn.co/mp3-preview/13d49e04b9b549cf258c142773f90c2e457dd392,"Pure Prairie League ""Amie - Remastered January 1992""","rgb(135, 130, 19)",13862,680,110
underground hip hop,https://p.scdn.co/mp3-preview/7d078241996955770586cca4c131a0f40558473d,"Robb Bank$ ""It's Lifted""","rgb(160, 138, 16)",8488,988,110
mexican hip hop,https://p.scdn.co/mp3-preview/02245b0342a74112139e08d5a6bd80d349b305bd,"Eptos Uno ""Un Momento""","rgb(169, 132, 4)",6803,1112,110
progressive electro house,https://p.scdn.co/mp3-preview/fc6c1d0156677a3527dc7de9299a7137262761a4,"DubVision ""Electricity""","rgb(209, 125, 89)",2016,828,110
synthpop,https://p.scdn.co/mp3-preview/a3a5b270a25d4af63e81d324be86adeb536f5659,"Kajagoogoo ""Too Shy""","rgb(181, 121, 41)",3168,741,110
metropopolis,https://p.scdn.co/mp3-preview/60c0795cc706877dc802903376c2d3a2ac370644,"MS MR ""Hurricane""","rgb(167, 137, 38)",5410,535,110
garage rock,https://p.scdn.co/mp3-preview/cc73c19243cd3f3a33b726d2bceec7d49429abc7,"The Raconteurs ""Steady, As She Goes""","rgb(198, 102, 45)",9106,396,110
indie folk,https://p.scdn.co/mp3-preview/3d04dae43ab370eb9042255a155e7a84381a3f8a,"Gregory Alan Isakov ""Big Black Car""","rgb(104, 153, 33)",14512,593,110
vocal jazz,https://p.scdn.co/mp3-preview/7a59310caa3447875d61882e5d5eda6ce150018c,"Dinah Washington ""What A Diff'rence A Day Made""","rgb(75, 145, 45)",19562,795,110
classical,https://p.scdn.co/mp3-preview/13025c200f29b51f981e9821274b18090cd7d2d0,"Richard Strauss ""Morgen, Op. 27 No. 4 (Arr. Reger for Piano)""","rgb(36, 161, 147)",21730,380,110
