genre_name,preview_url,preview_track,color,top_pixel,left_pixel,font_size
east coast hip hop,https://p.scdn.co/mp3-preview/cea4658190b7d2e1ea6d960db419f18e65e9a2e7,"Kool G Rap ""Fast Life (with Nas)""","rgb(180, 113, 14)",7975,1112,112
folk rock,https://p.scdn.co/mp3-preview/53ab746c37c717c20f793598064b7f720877b646,"Buffalo Springfield ""For What It's Worth""","rgb(127, 134, 14)",14550,650,112
metal,https://p.scdn.co/mp3-preview/2121bedf135b44a9f49cce6f4c8b003959c16826,"King Diamond ""Abigail - Reissue""","rgb(220, 78, 60)",8923,214,112
turkish pop,https://p.scdn.co/mp3-preview/0402af5596e6ca5b7a9dbedc81b0621e2fbd13d4,"Burcu Güneş ""Anıları Yak""","rgb(162, 136, 11)",7681,744,112
bedroom pop,https://p.scdn.co/mp3-preview/8b7ebeab31351c105a4136630edc77238cfb2959,"Jakob ""You Might Be Sleeping""","rgb(128, 148, 36)",9805,716,112
desi pop,https://p.scdn.co/mp3-preview/adc1a73cffab5e6edea79f5a481257068f929f46,"Sachet Tandon ""Malang Sajna""","rgb(155, 148, 7)",9243,813,112
italian hip hop,https://p.scdn.co/mp3-preview/de40bf03511289536ab80dcf98587bad99079a28,"Izi ""Chic""","rgb(179, 138, 6)",8939,973,112
hoerspiel,https://p.scdn.co/mp3-preview/bf6f16f3fd476f2bdc730f533a2ccb98f5c69a5a,"Die Originale ""076 - Die Bremer Stadtmusikanten - Teil 01""","rgb(94, 103, 0)",16131,1325,112
afrobeats,https://p.scdn.co/mp3-preview/d9b97825d2fd155ef58cc5d3693b6e3b09ca8b42,"Ice Prince ""KOLO (feat. Oxlade)""","rgb(184, 136, 6)",8601,1066,112
adult standards,https://p.scdn.co/mp3-preview/5d608551226ae776c0f90d719b0efc6486368b7b,"Perry Como ""Papa Loves Mambo""","rgb(80, 143, 27)",18832,700,112
post-teen pop,https://p.scdn.co/mp3-preview/5c12459078663a786a28fc43ad3dd306f6bf6bc5,"Jesse McCartney ""Beautiful Soul""","rgb(177, 134, 4)",4676,711,112
neo soul,https://p.scdn.co/mp3-preview/426cd317745626f2b0f3acd09f32bc986363084e,"Angie Stone ""Wish I Didn't Miss You""","rgb(124, 138, 13)",13763,772,111
sped up,https://p.scdn.co/mp3-preview/05956518dbeace260858a0d29f13c006381dcb25,"sped up nightcore ""SPIT IN MY FACE! (ThxSoMch) - Sped Up Version""","rgb(152, 147, 54)",5314,864,111
cloud rap,https://p.scdn.co/mp3-preview/a0e1301cc3d01afc3d523742ce76fe53cc82a5bf,"Cold Hart ""Me and You""","rgb(125, 147, 40)",8664,866,111
viral pop,https://p.scdn.co/mp3-preview/514581d4aa2483fc1ad89a46417418893aa387f1,"Sam Tsui ""Easy On Me - Piano Acoustic""","rgb(132, 149, 6)",10233,765,111
talent show,https://p.scdn.co/mp3-preview/9569ed39233720069f71c9e0503af9b2862c33d6,"Olly Murs ""Troublemaker (feat. Flo Rida)""","rgb(177, 132, 5)",4617,683,111
spanish pop,https://p.scdn.co/mp3-preview/73b5ecb7b405bb04a7add957841a43022d4bf9aa,"El Canto Del Loco ""Zapatillas""","rgb(181, 132, 5)",6665,758,111
punk,https://p.scdn.co/mp3-preview/fca55654c7bbd62eaa1455a33b0dfaf8c9503d1c,"Dead Kennedys ""Holiday in Cambodia - Single Version""","rgb(215, 84, 33)",8873,350,111
